300 44850
0 1 755077009
1 2 33979965
2 3 517865414
3 4 153932585
4 5 509730715
5 6 654098922
6 7 755863883
7 8 104775497
8 9 302406726
9 10 188873957
10 11 470352793
11 12 688963583
12 13 355163687
13 14 484082597
14 15 234939184
15 16 170385676
16 17 869645151
17 18 269453490
18 19 132905066
19 20 587716500
20 21 219469084
21 22 909607020
22 23 274607145
23 24 981300936
24 25 631333302
25 26 137112335
26 27 590598766
27 28 837393001
28 29 532802110
29 30 347667194
30 31 72983454
31 32 487709426
32 33 214234258
33 34 544943633
34 35 741644704
35 36 592249763
36 37 359083636
37 38 288661856
38 39 61782622
39 40 963910487
40 41 889344560
41 42 532902067
42 43 369331368
43 44 415052288
44 45 222000984
45 46 907784396
46 47 483349118
47 48 277240154
48 49 303879699
49 50 91345229
50 51 309217256
51 52 931720549
52 53 180333471
53 54 535655226
54 55 846643631
55 56 561314557
56 57 327394428
57 58 684454809
58 59 100068912
59 60 363420395
60 61 48893051
61 62 713169438
62 63 183259950
63 64 500736547
64 65 367568791
65 66 559014653
66 67 485183922
67 68 468837561
68 69 744472415
69 70 224447948
70 71 506581644
71 72 348050685
72 73 425394849
73 74 451961302
74 75 248317151
75 76 302572953
76 77 863556139
77 78 161717100
78 79 788418148
79 80 55472619
80 81 362588109
81 82 381546280
82 83 352277983
83 84 494180941
84 85 892501893
85 86 752218123
86 87 776564016
87 88 85950575
88 89 806310999
89 90 873292950
90 91 149658152
91 92 122642504
92 93 306115948
93 94 129556706
94 95 940715622
95 96 726492045
96 97 80996039
97 98 782290943
98 99 858727342
99 100 69922601
100 101 180775454
101 102 256927141
102 103 586153412
103 104 331171459
104 105 660384421
105 106 733081733
106 107 714780381
107 108 222193263
108 109 273736528
109 110 135900779
110 111 838321698
111 112 582942123
112 113 351272259
113 114 426342619
114 115 336432125
115 116 711484665
116 117 428949903
117 118 410469397
118 119 950320715
119 120 544364905
120 121 334454306
121 122 733957401
122 123 618966545
123 124 583426183
124 125 889963458
125 126 123614656
126 127 387636874
127 128 441007620
128 129 808482098
129 130 384499355
130 131 171143558
131 132 345651607
132 133 749554207
133 134 558838655
134 135 460958151
135 136 24956685
136 137 53575710
137 138 97826420
138 139 845836819
139 140 503719977
140 141 173693936
141 142 288075825
142 143 234479232
143 144 622486255
144 145 88189232
145 146 556169881
146 147 84995974
147 148 303428144
148 149 381055844
149 150 21491092
150 151 19727974
151 152 473716482
152 153 985843977
153 154 472795218
154 155 242076986
155 156 3347171
156 157 489232257
157 158 538183117
158 159 609444817
159 160 692114532
160 161 58698835
161 162 80795221
162 163 478701113
163 164 293656946
164 165 522143913
165 166 191276134
166 167 138415141
167 168 897904192
168 169 994605258
169 170 950186973
170 171 261307210
171 172 56350502
172 173 844807250
173 174 472207252
174 175 25565621
175 176 141281320
176 177 633458883
177 178 29073057
178 179 208239828
179 180 497117583
180 181 472262604
181 182 508733726
182 183 591009007
183 184 204928677
184 185 160436919
185 186 563611742
186 187 507310349
187 188 502206743
188 189 634706575
189 190 390613515
190 191 438430735
191 192 124476712
192 193 657382782
193 194 934971717
194 195 869412092
195 196 695968196
196 197 243125630
197 198 463640728
198 199 3402144
199 200 784547011
200 201 38428620
201 202 859175771
202 203 526572580
203 204 483723115
204 205 367669177
205 206 908738030
206 207 127809241
207 208 515662449
208 209 159501415
209 210 153664758
210 211 972670939
211 212 332107032
212 213 623242051
213 214 775300843
214 215 416380177
215 216 228822325
216 217 726142062
217 218 996833936
218 219 150521297
219 220 256842614
220 221 649226498
221 222 566621177
222 223 736211467
223 224 917630306
224 225 360423278
225 226 740699537
226 227 805615339
227 228 401051652
228 229 509867600
229 230 583500652
230 231 503291929
231 232 347151156
232 233 266461977
233 234 781084180
234 235 297368239
235 236 633918205
236 237 956642692
237 238 777912867
238 239 245998126
239 240 980043578
240 241 253334672
241 242 579291583
242 243 164478262
243 244 473800448
244 245 606296913
245 246 130103503
246 247 474904286
247 248 920141511
248 249 499968210
249 250 843308753
250 251 406463197
251 252 18730696
252 253 490425003
253 254 505731841
254 255 964075139
255 256 125481393
256 257 233798397
257 258 824092796
258 259 19070866
259 260 652556067
260 261 734770279
261 262 177415688
262 263 28088405
263 264 21918041
264 265 326033834
265 266 942779040
266 267 592869148
267 268 67358468
268 269 373538687
269 270 228389780
270 271 931313105
271 272 365575026
272 273 633946057
273 274 506287028
274 275 944882671
275 276 882291641
276 277 731760641
277 278 994608443
278 279 652320340
279 280 323533975
280 281 937861458
281 282 508779528
282 283 684728129
283 284 357286299
284 285 96679487
285 286 169114419
286 287 232117086
287 288 692018894
288 289 146588639
289 290 597930112
290 291 275994409
291 292 494525315
292 293 241760193
293 294 406491300
294 295 923364791
295 296 986889243
296 297 898771332
297 298 58434280
298 299 735047546
0 2 753910468
0 3 270155802
0 4 650455650
0 5 425776333
0 6 442860162
0 7 894634563
0 8 473643608
0 9 897977215
0 10 63152689
0 11 371050774
0 12 768830189
0 13 74289138
0 14 827315240
0 15 304827890
0 16 44199513
0 17 451595415
0 18 344869150
0 19 226760349
0 20 818192482
0 21 115404213
0 22 341857416
0 23 806235209
0 24 441862009
0 25 344280540
0 26 757432156
